"","FID","Site","AgeCap","RadCap","LenCap","WTg","SEXCON","Sex","Agei","Radi","BI.len"
"1","1","11",4,0.9402,347,658,"8","2",1,0.4328,154.679032258064
"2","1","11",4,0.9402,347,658,"8","2",2,0.6898,252.090322580645
"3","1","11",4,0.9402,347,658,"8","2",3,0.8028,294.920967741935
"4","1","11",4,0.9402,347,658,"8","2",4,0.9269,341.958870967742
"5","2","11",4,0.9884,292,415,"3","1",1,0.5665,164.509555275855
"6","2","11",4,0.9884,292,415,"3","1",2,0.7181,210.320295783512
"7","2","11",4,0.9884,292,415,"3","1",3,0.8486,249.755003146633
"8","2","11",4,0.9884,292,415,"3","1",4,0.9582,282.874113698343
"9","3","11",4,0.836,348,557,"3","1",1,0.4618,187.248164794007
"10","3","11",4,0.836,348,557,"3","1",2,0.6364,262.254232209738
"11","3","11",4,0.836,348,557,"3","1",3,0.7512,311.570936329588
"12","3","11",4,0.836,348,557,"3","1",4,0.8155,339.193445692884
"13","4","12",6,1.0793,374,669,"8","2",1,0.462,155.228832710907
"14","4","12",6,1.0793,374,669,"8","2",2,0.6452,220.154926745188
"15","4","12",6,1.0793,374,669,"8","2",3,0.7841,269.381097385809
"16","4","12",6,1.0793,374,669,"8","2",4,0.8784,302.801024609786
"17","4","12",6,1.0793,374,669,"8","2",5,0.9983,345.293593794887
"18","4","12",6,1.0793,374,669,"8","2",6,1.0419,360.745437134923
"19","5","18",4,0.8316,375,716,"3","1",1,0.4052,176.359477780567
"20","5","18",4,0.8316,375,716,"3","1",2,0.5593,248.147715289982
"21","5","18",4,0.8316,375,716,"3","1",3,0.7204,323.196936982174
"22","5","18",4,0.8316,375,716,"3","1",4,0.7988,359.719959829274
"23","7","18",1,0.6543,195,118,"8","2",1,0.5924,175.8992572259
"24","8","18",2,0.756,289,479,"3","1",1,0.5198,195.601081830791
"25","8","18",2,0.756,289,479,"3","1",2,0.7076,269.861525658807
"26","9","18",4,0.9389,388,986,"3","1",1,0.4909,197.628498727735
"27","9","18",4,0.9389,388,986,"3","1",2,0.6787,277.43155216285
"28","9","18",4,0.9389,388,986,"3","1",3,0.8055,331.313486005089
"29","9","18",4,0.9389,388,986,"3","1",4,0.9087,375.166921119593
"30","10","18",8,1.2518,423,1258,"8","2",1,0.4272,138.98466469428
"31","10","18",8,1.2518,423,1258,"8","2",2,0.6013,198.94958086785
"32","10","18",8,1.2518,423,1258,"8","2",3,0.751,250.510453648915
"33","10","18",8,1.2518,423,1258,"8","2",4,0.8624,288.879733727811
"34","10","18",8,1.2518,423,1258,"8","2",5,0.9667,324.80357495069
"35","10","18",8,1.2518,423,1258,"8","2",6,1.0669,359.315261341223
"36","10","18",8,1.2518,423,1258,"8","2",7,1.166,393.448076923077
"37","10","18",8,1.2518,423,1258,"8","2",8,1.2129,409.601750493097
"38","11","18",4,0.8541,409,1131,"8","2",1,0.4711,219.58075937004
"39","11","18",4,0.8541,409,1131,"8","2",2,0.6377,301.975656208033
"40","11","18",4,0.8541,409,1131,"8","2",3,0.7434,354.251410084239
"41","11","18",4,0.8541,409,1131,"8","2",4,0.8303,397.229300451715
"42","12","18",5,0.9844,380,979,"3","1",1,0.4627,173.331188118812
"43","12","18",5,0.9844,380,979,"3","1",2,0.6761,257.868516958079
"44","12","18",5,0.9844,380,979,"3","1",3,0.7969,305.722824942069
"45","12","18",5,0.9844,380,979,"3","1",4,0.9002,346.644596587318
"46","12","18",5,0.9844,380,979,"3","1",5,0.9667,372.988234674531
"47","13","18",5,1.1038,380,950,"3","1",1,0.5755,194.096528817365
"48","13","18",5,1.1038,380,950,"3","1",2,0.6963,236.604837200599
"49","13","18",5,1.1038,380,950,"3","1",3,0.8732,298.854172904192
"50","13","18",5,1.1038,380,950,"3","1",4,0.9689,332.530043038922
"51","13","18",5,1.1038,380,950,"3","1",5,1.0828,372.610310628743
"52","14","18",2,0.8813,293,466,"3","1",1,0.6283,206.574028122415
"53","14","18",2,0.8813,293,466,"3","1",2,0.8312,275.885607940447
"54","15","18",1,0.6548,228,193,"8","2",1,0.5991,207.860648596321
"55","16","18",1,0.5506,214,171,"6","2",1,0.5022,194.277657098526
"56","17","18",3,0.856,317,482,"3","1",1,0.5105,185.238672350792
"57","17","18",3,0.856,317,482,"3","1",2,0.7114,261.854738124239
"58","17","18",3,0.856,317,482,"3","1",3,0.8331,308.266760048721
"59","18","18",3,0.8032,315,500,"3","1",1,0.4362,166.375032543608
"60","18","18",3,0.8032,315,500,"3","1",2,0.6159,239.148620151002
"61","18","18",3,0.8032,315,500,"3","1",3,0.7294,285.113017443374
"62","19","18",2,0.8143,323,522,"8","2",1,0.5486,214.203811112537
"63","19","18",2,0.8143,323,522,"8","2",2,0.7399,292.535429231361
"64","20","18",4,0.8353,374,909,"8","2",1,0.4684,204.326515056854
"65","20","18",4,0.8353,374,909,"8","2",2,0.5811,256.444808196926
"66","20","18",4,0.8353,374,909,"8","2",3,0.7128,317.349681369486
"67","20","18",4,0.8353,374,909,"8","2",4,0.7952,355.455691615644
"68","21","18",4,0.9166,361,774,"8","2",1,0.4765,182.733541288566
"69","21","18",4,0.9166,361,774,"8","2",2,0.6793,264.879503176044
"70","21","18",4,0.9166,361,774,"8","2",3,0.7909,310.084085753176
"71","21","18",4,0.9166,361,774,"8","2",4,0.8811,346.620406079855
"72","22","18",4,0.9135,385,811,"3","1",1,0.4428,180.806750142288
"73","22","18",4,0.9135,385,811,"3","1",2,0.6598,274.943005122368
"74","22","18",4,0.9135,385,811,"3","1",3,0.7756,325.177928286853
"75","22","18",4,0.9135,385,811,"3","1",4,0.8712,366.649937393284
"76","23","18",2,0.6716,299,473,"8","2",1,0.4839,211.990464970154
"77","23","18",2,0.6716,299,473,"8","2",2,0.6286,279.067075086397
"78","24","18",6,1.1542,431,1312,"8","2",1,0.4241,152.38517691208
"79","24","18",6,1.1542,431,1312,"8","2",2,0.6718,246.910436025733
"80","24","18",6,1.1542,431,1312,"8","2",3,0.8435,312.433193352395
"81","24","18",6,1.1542,431,1312,"8","2",4,0.9813,365.019308434596
"82","24","18",6,1.1542,431,1312,"8","2",5,1.0692,398.562991422445
"83","24","18",6,1.1542,431,1312,"8","2",6,1.1303,421.879476411723
"84","25","18",2,0.7537,318,590,"3","1",1,0.5016,207.822443300404
"85","25","18",2,0.7537,318,590,"3","1",2,0.7002,294.618408237095
"86","26","18",7,1.145,386,901,"3","1",1,0.4086,132.50590990991
"87","26","18",7,1.145,386,901,"3","1",2,0.588,194.261531531532
"88","26","18",7,1.145,386,901,"3","1",3,0.7877,263.005108108108
"89","26","18",7,1.145,386,901,"3","1",4,0.9167,307.411324324324
"90","26","18",7,1.145,386,901,"3","1",5,1.0282,345.793441441441
"91","26","18",7,1.145,386,901,"3","1",6,1.0873,366.137684684685
"92","26","18",7,1.145,386,901,"3","1",7,1.145,386
"93","27","18",1,0.4693,133,36,"6","2",1,0.4257,120.039465807046
"94","29","18",1,0.5657,217,166,"6","2",1,0.5259,201.018503862823
"95","30","18",4,0.8355,339,612,"3","1",1,0.4267,167.870855715178
"96","30","18",4,0.8355,339,612,"3","1",2,0.5961,238.783960024984
"97","30","18",4,0.8355,339,612,"3","1",3,0.7172,289.478038725796
"98","30","18",4,0.8355,339,612,"3","1",4,0.8109,328.702111180512
"99","31","18",4,0.9253,353,742,"8","2",1,0.463,171.725227451421
"100","31","18",4,0.9253,353,742,"8","2",2,0.6283,236.541839829271
"101","31","18",4,0.9253,353,742,"8","2",3,0.7943,301.632932719308
"102","31","18",4,0.9253,353,742,"8","2",4,0.8899,339.119128383691
"103","32","18",3,0.8355,343,861,"8","2",1,0.5143,206.936389756402
"104","32","18",3,0.8355,343,861,"8","2",2,0.6978,284.66886945659
"105","32","18",3,0.8355,343,861,"8","2",3,0.8177,335.45973766396
"106","33","18",2,0.7075,276,333,"1","1",1,0.4744,181.685486988848
"107","33","18",2,0.7075,276,333,"1","1",2,0.666,259.208698884758
"108","34","18",1,0.5789,236,206,"8","2",1,0.5204,211.036127964699
"109","35","18",1,0.5728,207,128,"1","1",1,0.5151,185.209613239122
"110","36","18",3,0.7759,315,454,"3","1",1,0.4444,175.804899446619
"111","36","18",3,0.7759,315,454,"3","1",2,0.6404,258.104265083007
"112","36","18",3,0.7759,315,454,"3","1",3,0.7416,300.597611013632
"113","37","18",5,1.3237,403,1003,"8","2",1,0.644,192.502390005432
"114","37","18",5,1.3237,403,1003,"8","2",2,0.826,248.866322650733
"115","37","18",5,1.3237,403,1003,"8","2",3,1.0195,308.791712578568
"116","37","18",5,1.3237,403,1003,"8","2",4,1.1615,352.767967719407
"117","37","18",5,1.3237,403,1003,"8","2",5,1.2921,393.213734771475
"118","38","18",4,0.8497,361,735,"8","2",1,0.5294,220.605830367006
"119","38","18",4,0.8497,361,735,"8","2",2,0.6541,275.26444089849
"120","38","18",4,0.8497,361,735,"8","2",3,0.7572,320.455320977047
"121","38","18",4,0.8497,361,735,"8","2",4,0.8241,349.778986129864
"122","39","18",1,0.5999,223,189,"1","1",1,0.533,197.052416356877
"123","40","18",4,0.8781,398,1066,"3","1",1,0.4387,192.606167714387
"124","40","18",4,0.8781,398,1066,"3","1",2,0.5982,267.163100462579
"125","40","18",4,0.8781,398,1066,"3","1",3,0.7512,338.681662910687
"126","40","18",4,0.8781,398,1066,"3","1",4,0.8434,381.779777013403
"127","41","18",4,0.8144,369,788,"3","1",1,0.4093,179.236066204773
"128","41","18",4,0.8144,369,788,"3","1",2,0.5491,244.723595073133
"129","41","18",4,0.8144,369,788,"3","1",3,0.6652,299.109160892995
"130","41","18",4,0.8144,369,788,"3","1",4,0.7839,354.712663587375
"131","42","18",4,0.9377,369,681,"3","1",1,0.5244,201.839448321702
"132","42","18",4,0.9377,369,681,"3","1",2,0.7221,281.79986706547
"133","42","18",4,0.9377,369,681,"3","1",3,0.8409,329.848919906946
"134","42","18",4,0.9377,369,681,"3","1",4,0.9199,361.800731139914
"135","43","18",3,0.9218,313,516,"8","2",1,0.5318,177.062922868742
"136","43","18",3,0.9218,313,516,"8","2",2,0.746,251.723748308525
"137","43","18",3,0.9218,313,516,"8","2",3,0.8824,299.266869643663
"138","44","18",4,0.8693,370,873,"3","1",1,0.4625,191.491693635383
"139","44","18",4,0.8693,370,873,"3","1",2,0.6354,267.362111950138
"140","44","18",4,0.8693,370,873,"3","1",3,0.75,317.649850173798
"141","44","18",4,0.8693,370,873,"3","1",4,0.8521,362.452451156658
"142","45","18",2,0.63,314,596,"8","2",1,0.3948,191.419294117647
"143","45","18",2,0.63,314,596,"8","2",2,0.595,295.758823529412
"144","46","18",2,0.7936,316,603,"8","2",1,0.6249,246.594160295281
"145","46","18",2,0.7936,316,603,"8","2",2,0.7715,306.907711573952
"146","47","10",5,1.18,330,598,"3","1",1,0.535,146.301746724891
"147","47","10",5,1.18,330,598,"3","1",2,0.7593,210.183170305677
"148","47","10",5,1.18,330,598,"3","1",3,0.9283,258.31496069869
"149","47","10",5,1.18,330,598,"3","1",4,1.0517,293.459711790393
"150","47","10",5,1.18,330,598,"3","1",5,1.1488,321.114131004367
"151","48","10",4,1.1816,359,840,"8","2",1,0.567,168.659462759463
"152","48","10",4,1.1816,359,840,"8","2",2,0.8432,254.198116169545
"153","48","10",4,1.1816,359,840,"8","2",3,1.0086,305.422204779348
"154","48","10",4,1.1816,359,840,"8","2",4,1.1517,349.740022675737
"155","49","8",7,1.0592,362,767,"3","1",1,0.4075,134.140431556337
"156","49","8",7,1.0592,362,767,"3","1",2,0.5761,193.08952353056
"157","49","8",7,1.0592,362,767,"3","1",3,0.7038,237.73839093927
"158","49","8",7,1.0592,362,767,"3","1",4,0.8226,279.275473540324
"159","49","8",7,1.0592,362,767,"3","1",5,0.9163,312.036623706307
"160","49","8",7,1.0592,362,767,"3","1",6,1.0029,342.315338801015
"161","49","8",7,1.0592,362,767,"3","1",7,1.0592,362
"162","50","8",5,0.9137,351,721,"3","1",1,0.4745,177.509252304541
"163","50","8",5,0.9137,351,721,"3","1",2,0.6038,228.584738818709
"164","50","8",5,0.9137,351,721,"3","1",3,0.7148,272.431444178901
"165","50","8",5,0.9137,351,721,"3","1",4,0.7923,303.045134858313
"166","50","8",5,0.9137,351,721,"3","1",5,0.869,333.342813246842
"167","51","8",5,0.987,344,630,"3","1",1,0.5073,172.628182773109
"168","51","8",5,0.987,344,630,"3","1",2,0.682,235.039390756303
"169","51","8",5,0.987,344,630,"3","1",3,0.7996,277.051743697479
"170","51","8",5,0.987,344,630,"3","1",4,0.8789,305.38150210084
"171","51","8",5,0.987,344,630,"3","1",5,0.9662,336.569243697479
"172","52","8",3,0.8976,294,481,"3","1",1,0.43,136.74198933457
"173","52","8",3,0.8976,294,481,"3","1",2,0.7127,231.816496638071
"174","52","8",3,0.8976,294,481,"3","1",3,0.8633,282.464607002087
"175","53","8",2,0.8746,277,328,"8","2",1,0.5558,173.302667937113
"176","53","8",2,0.8746,277,328,"8","2",2,0.8015,253.22247498809
"177","54","8",2,0.8326,288,409,"3","1",1,0.5382,183.136609829488
"178","54","8",2,0.8326,288,409,"3","1",2,0.814,281.374799398195
"179","56","8",2,0.6769,260,259,"8","2",1,0.4108,153.83360336501
"180","56","8",2,0.6769,260,259,"8","2",2,0.6524,250.225190839695
"181","57","8",2,0.884,276,327,"8","2",1,0.64,197.799293286219
"182","57","8",2,0.884,276,327,"8","2",2,0.8518,265.680070671378
"183","58","8",2,0.7589,254,213,"3","1",1,0.5507,182.069042685454
"184","58","8",2,0.7589,254,213,"3","1",2,0.72,240.560450338445
"185","59","8",5,0.9915,354,780,"3","1",1,0.516,179.956560376372
"186","59","8",5,0.9915,354,780,"3","1",2,0.702,248.036644014637
"187","59","8",5,0.9915,354,780,"3","1",3,0.8113,288.042843700993
"188","59","8",5,0.9915,354,780,"3","1",4,0.8966,319.264516466283
"189","59","8",5,0.9915,354,780,"3","1",5,0.9742,347.667820177731
"190","60","8",4,0.7376,338,666,"8","2",1,0.3636,160.155707372616
"191","60","8",4,0.7376,338,666,"8","2",2,0.5154,232.339567321378
"192","60","8",4,0.7376,338,666,"8","2",3,0.6368,290.067634500427
"193","60","8",4,0.7376,338,666,"8","2",4,0.7001,320.168018787361
"194","61","8",3,0.8311,319,591,"8","2",1,0.5184,195.231918100741
"195","61","8",3,0.8311,319,591,"8","2",2,0.6767,257.887777917347
"196","61","8",3,0.8311,319,591,"8","2",3,0.8012,307.165444039694
"197","62","8",2,0.5836,265,269,"8","2",1,0.3993,177.284487787094
"198","62","8",2,0.5836,265,269,"8","2",2,0.5528,250.34108640175
"199","63","8",2,0.7299,248,246,"8","2",1,0.4116,136.189624406389
"200","63","8",2,0.7299,248,246,"8","2",2,0.6743,228.469189811484
"201","64","8",2,0.6582,256,250,"8","2",1,0.4208,159.965757381258
"202","64","8",2,0.6582,256,250,"8","2",2,0.6154,238.686328626444
"203","65","8",2,0.7615,245,238,"8","2",1,0.4404,138.438114246387
"204","65","8",2,0.7615,245,238,"8","2",2,0.6931,222.300426703372
"205","66","8",2,0.6905,249,231,"3","1",1,0.4991,177.433043478261
"206","66","8",2,0.6905,249,231,"3","1",2,0.6755,243.391304347826
"207","67","8",2,0.784,254,308,"3","1",1,0.4983,158.601375166889
"208","67","8",2,0.784,254,308,"3","1",2,0.7402,239.374659546061
"209","68","8",2,0.9348,261,306,"8","2",1,0.6184,170.59497666148
"210","68","8",2,0.9348,261,306,"8","2",2,0.879,245.056256945988
"211","69","8",1,0.4511,154,54,"6","2",1,0.3807,128.604566210046
"212","70","8",1,0.596,222,171,"6","2",1,0.5013,185.183475935829
"213","71","8",2,0.7008,219,172,"8","2",1,0.4736,145.598498047462
"214","71","8",2,0.7008,219,172,"8","2",2,0.6579,205.140297386603
"215","72","8",1,0.5503,189,102,"1","1",1,0.4612,156.994546865903
"216","73","8",1,0.5103,194,108,"6","2",1,0.4565,172.482263833368
"217","74","8",1,0.5357,172,76,"6","2",1,0.4804,153.434132214899
"218","75","8",1,0.6079,174,83,"6","2",1,0.5476,156.096299528714
"219","76","8",1,0.523,174,85,"6","2",1,0.4597,151.935799180328
"220","77","8",1,0.5459,183,95,"6","2",1,0.4638,154.219201409278
"221","78","8",1,0.5623,182,94,"6","2",1,0.4794,153.999829319173
"222","80","8",1,0.4314,165,69,"6","2",1,0.4007,152.523284561049
"223","82","8",1,0.4754,146,48,"1","1",1,0.4523,138.546525885559
"224","83","8",1,0.4528,143,42,"6","2",1,0.3809,119.062015318334
"225","84","8",1,0.5745,154,57,"6","2",1,0.5052,134.719314179796
"226","85","8",1,0.5862,135,40,"6","2",1,0.494,113.070718432511
"227","86","8",1,0.4589,132,34,"1","1",1,0.4054,115.83262561925
"228","87","8",1,0.5022,118,26,"1","1",1,0.4318,100.806849315069
"229","88","8",1,0.5711,123,27,"6","2",1,0.4436,94.6745942921097
"230","89","8",1,0.4328,136,38,"0","0",1,0.3983,124.543363499246
"231","90","2",2,0.7336,316,581,"8","2",1,0.4963,209.986072144289
"232","90","2",2,0.7336,316,581,"8","2",2,0.7083,304.697208703121
"233","91","2",2,0.6179,256,281,"6","2",1,0.3341,133.258569222851
"234","91","2",2,0.6179,256,281,"6","2",2,0.5539,228.320466632355
"235","92","2",2,0.6386,304,416,"8","2",1,0.3973,184.029605699138
"236","92","2",2,0.6386,304,416,"8","2",2,0.6072,288.388436050364
"237","93","2",4,0.9046,360,681,"3","1",1,0.4504,174.005726770929
"238","93","2",4,0.9046,360,681,"3","1",2,0.6688,263.440225390984
"239","93","2",4,0.9046,360,681,"3","1",3,0.7982,316.429346826127
"240","93","2",4,0.9046,360,681,"3","1",4,0.8853,352.096676632935
"241","94","2",4,0.8265,344,688,"3","1",1,0.4644,188.409084017688
"242","94","2",4,0.8265,344,688,"3","1",2,0.6052,248.909500947568
"243","94","2",4,0.8265,344,688,"3","1",3,0.7129,295.187163613392
"244","94","2",4,0.8265,344,688,"3","1",4,0.8009,332.999924194567
"245","95","2",2,0.6139,290,399,"8","2",1,0.3994,183.991276558991
"246","95","2",2,0.6139,290,399,"8","2",2,0.5602,263.460753152531
"247","96","2",1,0.5468,231,206,"6","2",1,0.4491,187.647772567409
"248","97","2",2,0.823,298,429,"8","2",1,0.492,174.46307106599
"249","97","2",2,0.823,298,429,"8","2",2,0.7852,283.892157360406
"250","98","2",2,0.6144,275,361,"3","1",1,0.3397,146.468467380048
"251","98","2",2,0.6144,275,361,"3","1",2,0.5603,249.686727649292
"252","99","2",2,0.6664,289,409,"8","2",1,0.3785,159.002708267342
"253","99","2",2,0.6664,289,409,"8","2",2,0.601,259.469528032943
"254","100","2",2,0.8248,279,395,"8","2",1,0.5602,186.835578627501
"255","100","2",2,0.8248,279,395,"8","2",2,0.7884,266.321296530767
"256","101","2",2,0.6396,310,510,"8","2",1,0.4035,190.466076744955
"257","101","2",2,0.6396,310,510,"8","2",2,0.6077,293.849503804168
"258","102","2",2,0.6616,289,375,"3","1",1,0.4207,179.391653367379
"259","102","2",2,0.6616,289,375,"3","1",2,0.6114,266.159240344718
"260","103","4",4,0.9194,336,675,"3","1",1,0.4303,152.338636363636
"261","103","4",4,0.9194,336,675,"3","1",2,0.6,216.062483039349
"262","103","4",4,0.9194,336,675,"3","1",3,0.7572,275.092469470828
"263","103","4",4,0.9194,336,675,"3","1",4,0.8979,327.926560379919
"264","104","4",2,0.6501,220,175,"1","1",1,0.4061,134.276702975126
"265","104","4",2,0.6501,220,175,"1","1",2,0.5852,197.199008291335
"266","105","4",4,0.8706,373,934,"8","2",1,0.5281,221.711404978459
"267","105","4",4,0.8706,373,934,"8","2",2,0.6495,275.336033987554
"268","105","4",4,0.8706,373,934,"8","2",3,0.7479,318.801136907611
"269","105","4",4,0.8706,373,934,"8","2",4,0.8335,356.612242699856
"270","106","4",2,0.7299,254,270,"1","1",1,0.4506,153.477723413441
"271","106","4",2,0.7299,254,270,"1","1",2,0.7155,248.817326233991
"272","107","4",2,0.7249,245,248,"8","2",1,0.5218,174.022452529352
"273","107","4",2,0.7249,245,248,"8","2",2,0.6852,231.126003768662
"274","108","4",2,0.6234,289,426,"8","2",1,0.3694,165.928280081577
"275","108","4",2,0.6234,289,426,"8","2",2,0.5652,260.800101971448
"276","109","4",5,0.921,358,768,"8","2",1,0.3756,140.02467268623
"277","109","4",5,0.921,358,768,"8","2",2,0.5881,224.952720090293
"278","109","4",5,0.921,358,768,"8","2",3,0.7138,275.190158013544
"279","109","4",5,0.921,358,768,"8","2",4,0.8103,313.757483069977
"280","109","4",5,0.921,358,768,"8","2",5,0.8909,345.970191873589
"281","110","4",1,0.4386,177,98,"1","1",1,0.3752,149.808374628345
"282","111","4",2,0.8115,265,328,"3","1",1,0.5193,166.747044430135
"283","111","4",2,0.8115,265,328,"3","1",2,0.7456,242.840965872505
"284","112","4",2,0.6625,269,331,"3","1",1,0.4285,170.141992031873
"285","112","4",2,0.6625,269,331,"3","1",2,0.6215,251.678725099602
"286","113","4",4,0.9114,336,600,"3","1",1,0.45,161.158671839343
"287","113","4",4,0.9114,336,600,"3","1",2,0.6654,242.781606572341
"288","113","4",4,0.9114,336,600,"3","1",3,0.8035,295.112745321771
"289","113","4",4,0.9114,336,600,"3","1",4,0.8719,321.032005933364
"290","114","2",2,0.9192,307,253,"3","1",1,0.617,203.407125084822
"291","114","2",2,0.9192,307,253,"3","1",2,0.8782,292.945374349695
"292","115","2",2,0.6814,275,330,"8","2",1,0.4192,165.03338490099
"293","115","2",2,0.6814,275,330,"8","2",2,0.632,254.281652227723
"294","116","6",5,1.1649,358,744,"3","1",1,0.4926,147.307522789627
"295","116","6",5,1.1649,358,744,"3","1",2,0.7723,234.962863970263
"296","116","6",5,1.1649,358,744,"3","1",3,0.9196,281.12529427383
"297","116","6",5,1.1649,358,744,"3","1",4,1.0478,321.301964775644
"298","116","6",5,1.1649,358,744,"3","1",5,1.134,348.316231524914
"299","117","6",2,0.7378,279,321,"3","1",1,0.5013,186.425796812749
"300","117","6",2,0.7378,279,321,"3","1",2,0.687,259.115139442231
"301","118","6",3,1.0115,324,496,"3","1",1,0.5743,180.684362519201
"302","118","6",3,1.0115,324,496,"3","1",2,0.7966,253.555053763441
"303","118","6",3,1.0115,324,496,"3","1",3,0.9743,311.805714285714
"304","119","6",2,0.7614,236,119,"8","2",1,0.4655,141.453758259912
"305","119","6",2,0.7614,236,119,"8","2",2,0.6863,212.003978524229
"306","120","6",2,0.7764,259,227,"8","2",1,0.5402,177.72859455085
"307","120","6",2,0.7764,259,227,"8","2",2,0.7253,241.417574858376
"308","121","6",1,0.4184,183,88,"6","2",1,0.3628,157.027230046948
"309","122","14",1,0.6134,236,251,"8","2",1,0.4912,186.963658367912
"310","123","14",2,0.7822,288,437,"8","2",1,0.5385,195.34051124197
"311","123","14",2,0.7822,288,437,"8","2",2,0.7449,273.817813169165
"312","125","15",2,0.6268,296,440,"8","2",1,0.3761,172.259766813112
"313","125","15",2,0.6268,296,440,"8","2",2,0.5797,272.752433254478
"314","126","15",2,0.5214,269,303,"3","1",1,0.3506,175.909786184211
"315","126","15",2,0.5214,269,303,"3","1",2,0.492,252.976274671053
"316","127","15",2,0.4725,283,348,"8","2",1,0.279,159.558057142857
"317","127","15",2,0.4725,283,348,"8","2",2,0.4378,260.863382857143
"318","128","15",5,0.9132,376,859,"3","1",1,0.3684,145.164108403553
"319","128","15",5,0.9132,376,859,"3","1",2,0.536,216.177499430654
"320","128","15",5,0.9132,376,859,"3","1",3,0.679,276.767683898884
"321","128","15",5,0.9132,376,859,"3","1",4,0.7876,322.782327488044
"322","128","15",5,0.9132,376,859,"3","1",5,0.8783,361.212605329082
"323","129","15",4,0.7793,362,739,"3","1",1,0.3724,166.230968695418
"324","129","15",4,0.7793,362,739,"3","1",2,0.5492,251.293550987505
"325","129","15",4,0.7793,362,739,"3","1",3,0.648,298.828523444848
"326","129","15",4,0.7793,362,739,"3","1",4,0.7255,336.115571678087
"327","130","15",2,0.6614,266,305,"8","2",1,0.3996,156.456928480204
"328","130","15",2,0.6614,266,305,"8","2",2,0.622,249.514144316731
"329","131","15",2,0.7121,261,282,"3","1",1,0.4204,150.239299955693
"330","131","15",2,0.7121,261,282,"3","1",2,0.6701,245.052281789987
"331","132","15972",7,1.0474,395,971,"3","1",1,0.4232,153.865448439352
"332","132","15972",7,1.0474,395,971,"3","1",2,0.7063,263.229741209008
"333","132","15972",7,1.0474,395,971,"3","1",3,0.81,303.29006321612
"334","132","15972",7,1.0474,395,971,"3","1",4,0.8912,334.65841564599
"335","132","15972",7,1.0474,395,971,"3","1",5,0.9567,359.961704859739
"336","132","15972",7,1.0474,395,971,"3","1",6,1.0119,381.286003555907
"337","132","15972",7,1.0474,395,971,"3","1",7,1.0365,390.789223627025
